Ubs,V;Ibs,A;Isun,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TGbv,C;TNap,C;TPrd2,C;TPrd1,C;TDS24,C;Class
14,43;0,24;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;16;15;9;10;8;11;9;8;-20;9;10;12;10;6;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,43;0,24;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;16;14;7;10;8;11;9;6;-21;9;10;12;10;5;19;19;19;19;19;18;19;19;18;26;18;18;20;20;22;0
14,43;0,24;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;14;14;7;10;8;10;9;6;-23;9;9;12;9;5;19;19;19;19;19;18;18;19;18;26;19;18;20;20;22;0
14,37;0,24;0,00;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;14;14;7;10;7;10;9;6;-25;9;9;11;9;5;19;19;19;19;19;18;18;18;18;26;19;18;20;20;22;0
14,37;0,27;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;14;12;7;10;7;8;7;6;-25;9;9;11;9;5;18;19;19;19;19;18;18;18;18;26;19;18;20;20;22;0
14,37;0,27;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;13;12;7;10;7;8;7;5;-26;8;9;11;9;3;18;18;19;19;19;18;18;18;18;26;19;18;20;20;22;0
14,37;0,21;0,00;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;22;13;12;7;8;5;8;7;5;-26;8;7;11;7;3;18;18;18;19;19;18;18;18;18;26;19;18;19;20;22;0
14,37;0,21;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;13;11;6;8;5;7;6;3;-28;8;7;9;7;3;18;18;18;19;19;18;18;18;18;26;19;18;19;19;22;0
14,30;0,27;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;22;12;11;6;8;5;7;6;3;-28;8;7;9;7;2;18;18;18;18;19;18;18;18;18;26;19;18;19;19;22;0
14,30;0,24;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;12;11;6;8;4;7;6;3;-29;8;5;8;5;2;18;18;18;18;19;18;18;18;18;26;19;18;19;19;22;0
14,30;0,24;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;12;10;4;7;4;5;4;3;-29;6;5;8;5;2;18;18;18;18;19;18;17;18;18;26;19;18;19;19;22;0
14,30;0,27;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;10;10;6;7;4;5;4;2;-31;6;4;8;5;0;18;18;18;18;19;18;17;18;18;26;19;18;19;19;22;0
14,30;0,21;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;10;10;4;7;2;4;4;2;-31;6;4;8;5;0;18;18;18;18;18;17;17;18;17;26;19;18;19;19;22;0
14,24;0,27;0,00;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;10;10;4;7;2;4;3;2;-33;6;4;6;4;0;18;18;18;18;18;17;17;17;17;26;19;18;19;19;22;0
